#,跟踪,状态,优先级,主题,指派给,更新于,描述
1462,ios,新建,普通,回放中评论及提问同步到发现的过滤,智丰 郭,2016-07-20 18:15,"2.5版本
一个活动处于回放状态，用户提问或评论 会被自动同步到“发现”，因提问或评论质量参差不齐，需要有选择的同步。
增加“精彩评论 发帖炫耀一下”或“精彩评论 发帖一起讨论吧”选项，选中后同步到“发现”"
1461,功能,新建,普通,阿里性能测试平台深入了解,远航 王,2016-07-14 17:53,""
1460,功能,新建,高,更换域名,照林 蒲,2016-07-15 12:19,见附件
1459,功能,新建,普通,调查目前后台代码是否能自适应cpu核数的变化,照林 蒲,2016-07-15 12:19,阿里云的mqtt和web两个机器的cpu核数都增加了，但如果没有合理的在代码里做相应动作，还是有可能不能充分发挥cpu能力的，这里要确认下，如果要可以提高的地方，应该安排时间修改。
1458,ios,新建,普通,【医大帮】视频&IM架构调整版-排期表-V1.4,智丰 郭,2016-07-18 15:35,http://svn.zhaitech.com:3000/documents/30
1457,支持,新建,普通,兼容性测平台选型,智丰 郭,2016-07-13 17:27,""
1454,ios,反馈,普通,需求确认,珂 赵,2016-07-21 18:24,"1,转诊聊天这期要不要做
2,聊天页面内的 作业文章现在还是否支持。
3,场景： 同行圈有一个新帖子。在应用内有红点提示，那么，如果在离线状态是否需要有推送（考虑是否太频繁）。
4,红点的流程确认，所有的红点的流程需要重新定义变。麻烦有时间的时候过一遍。"
1443,功能,新建,低,整理用到的第三方服务,照林 蒲,2016-07-15 12:18,"短信：现在用的是云通讯的，考虑是否转移到腾讯云上
"
1441,错误,新建,高,153上部分内容没有加入版本管理，需要整理解决,照林 蒲,2016-07-15 12:18,"nginx的配置文件、上传的资源文件，需要纳入版本管理

/app/web/files/upload
/app/web/web_connector/assets/upload"
1440,功能,新建,普通,IM重构初步设计,亚 付,2016-07-15 10:58,http://svn.zhaitech.com:3000/documents/25    大家都来看，欢迎指点。
1437,支持,已解决,高,关于7月7日之前申请工作室未通过用户取消申请的申请,照林 蒲,2016-07-15 12:18,"常姐和kelly沟通过，现需要将7月7日之前申请工作室的用户（未通过），进行取消申请，
	此需求的目的是为了让之前很早一批由于多种原因，没有通过工作室的用户可以重新申请工作室。
	请进行相关操作，并予以反馈。"
1436,功能,新建,普通,对外域名修改 1dabang.me >medbigbang,"",2016-07-07 17:55,对外域名修改 1dabang.me >medbigbang
1435,功能,已关闭,普通,对外域名修改   1dabang.me  >medbigbang,"",2016-07-07 18:01,android 修改 域名相关
1417,功能,新建,高,国内所有的第三方测试平台提供的服务,远航 王,2016-07-14 17:13,"查国内所有的第三方测试平台提供的能力吧，最后结果以文档形式提交。
尤其要注意是否提供：
1. 压力测试（就是人超级多，流量很大，并发在线高的情况服务器会不会挂。
2. 兼容测试（就是你上面提的android，其实一般也应该有web兼容的测试）
3 逻辑测试（这个一般公司自己解决，不需要外包）。"
1416,android,已解决,普通,安卓登录按键失效，多次重装重启后解决,照林 蒲,2016-07-20 12:03,"日期：7.6下午17:00-18:00
环境：
软件版本2.5，在医大帮主页下载。
手机galaxy S6。
网络没问题-手机已多次下载医大帮软件 微信收发正常
该帐号在其他手机上登录正常

问题：
安卓“登录”按键失效，“忘记密码”有效并可通过验证码重置密码。
杀掉进程再次重启软件无效，多次删除并重装医大帮2.5并重启后解决
"
1415,功能,新建,普通,Android－直播讲堂－老师回答问题页面－问题不回答就不能退出,"",2016-07-06 21:00,"问题：Android－直播讲堂－老师回答问题页面－问题不回答就不能退出


"
1413,支持,新建,普通,Git分支模型,Zhang Daqula,2016-07-06 15:17,"http://svn.zhaitech.com:3000/documents/22

"
1412,支持,已解决,普通,mac 下 git客户端sourcetree 频繁输入密码问题 ,"",2016-07-06 14:32,"仓库－仓库设置中
修改目标url地址 
在地址前加入username@ 即可 http://guozhifeng@svn.zhaitech.com:8888/yidabang_android.git"
1411,ios,新建,普通,直播中导师回答问题按钮操作不便,亚 付,2016-07-20 20:33,"背景：
直播中，小医生文字提问后，导师语音回答问题，按钮过窄且没有提示“已成功按下”
多名导师遇到此问题 造成多次回复未录制成功 需要重复操作的麻烦。
需求：
加宽“回答问题”按钮，且按钮成功按下后 改变颜色且提示“松开结束”。参考微信的语音回复设计。"
1410,ios,新建,普通,发帖支持小视频或动态图,智丰 郭,2016-07-20 14:39,"部分专业方向需要帖子支持小视频或动态图功能，比如超声心动、冠脉造影、脑血流图，帖子阐述更形象。
"
1409,ios,反馈,普通,登录APP后可按科室定制浏览,智丰 郭,2016-07-20 20:44,"随着平台帖子及活动增多，为方便浏览，需要允许用户定制浏览“心内科”“神内科”等帖子及活动，提高效率

参考数据：根据用户观看视频行为统计，自3月起到现在，用户的报名行为越来约精准，比如3.9跨科室报名约20%，进入6月底 跨科室报名的只有10%左右了。"
1408,支持,反馈,普通,申请软件著作权,珂 赵,2016-07-14 17:47,"部分安卓线上分发渠道无法上线app，原因为没有软件著作权。
不加快的情况下三个月拿到证书，需找代理加快申请。
需要写的文档：使用说明书
代码：网上找其他代码即可，版权中心不检查代码"
1407,ios,反馈,普通,安卓线上分发渠道拓展,珂 赵,2016-07-15 19:41,"经常收到线下的反馈：
装机不流畅，扫描二维码下载慢或者没法下载
整理并拓展更多的安卓线上分发渠道，方便更多的用户下载。
"
1406,ios,新建,普通,"发帖""同步到工作室""不应同步到所有工作室，需要选择及过滤",智丰 郭,2016-07-20 20:55,"背景：
ios,android版本均有此问题。
发帖时选择“同步到工作室”，结果同步到所有已加工作室。但由于工作室导师科室和方向的问题，可能接收到跨专业信息。
需求：
方案1-手动选择同步到哪一个工作室
方案2-按科室及方向过滤工作室，比如当前贴属于心内科，关键词“心衰”的治疗，那么同步到沈爱东工作室及同方向其他导师的工作室。"
1402,功能,新建,普通,腾讯云直播SDK接入文档,李 莹,2016-07-14 17:58,http://svn.zhaitech.com:3000/documents/16
1401,功能,新建,高,腾讯云视频SDK接入方案,加宏 胡,2016-07-05 12:06,腾讯云视频SDK接入方案
1400,功能,进行中,高,TIM SDK 接入方案,智丰 郭,2016-07-11 02:57,TIM SDK 接入方案
1399,server,反馈,普通,运营及市场指标统计需求,珂 赵,2016-07-20 20:13,"背景：目前对活动和视频观看行为的统计效率较低，需要多位程序员人工导出数据，人工用excel处理数据，并整理成活动统计报告。如果将来直播频率更高，则人工统计完全不能按时提交统计报告。因此，需要后台按照需求，在活动结束后生成报表，供运营、市场取用。
"
1398,功能,新建,紧急,im切换方案,照林 蒲,2016-07-15 12:17,""
1397,功能,新建,紧急,视频切换方案,照林 蒲,2016-07-15 12:17,产出以文档为标准
1396,功能,新建,立刻,和赵勇做交接，掌握所有后台,照林 蒲,2016-07-15 12:17,产出以文档为标准
1393,pc,新建,普通,医大帮PC视频客户端开发,奇 刘,2016-07-15 14:31,基于OBS，开发医大帮PC端视频录制软件。
1374,ios,反馈,普通,用户注册规范,珂 赵,2016-07-20 20:12,"背景：后台数据发现最近注册的多个id使用假名或信息不全
比如 用户id 7899，姓名 雷，所在医院“大邑”；
 7886 姓名 杨；
7871 陈；
7867 小铁匠；
7864 zhuye；
 7859 大王；
7822 tvtsal等

需求：APP注册个人信息录入规范
姓名--汉字 2-4个字，
医院---可关键字查询选择，查询不到的做如下步骤 1.一键反馈到客服 在后台加入数据库 2. 请用户输入，后台审核后加入数据库"
1373,server,新建,普通,申请加入工作室 审批功能,照林 蒲,2016-07-20 20:11,"改进需求：申请加入工作室 审批功能
a.	后台收到学员申请加入工作室信息，点击后进入审批界面，在审批界面查看学员主页（简介，参加活动，帖子，活动中提问等）
b.	同意或拒绝（输入理由）某学员加入工作室
c.	学员收到同意（进入工作室链接）或拒绝信息（理由及改进方向）
"
1372,ios,已关闭,普通,直播时点击专家头像 弹窗显示专家主页信息,珂 赵,2016-07-20 20:09,"改进需求：直播时点击专家头像 弹窗显示专家主页信息 点击返回菜单后回到直播页面（安卓2.4版）
目前现象：直播时点击专家头像，进入“申请加入工作室”流程，容易误操作造成大量用户申请加入该工作室，不能满足用户查看导师介绍的需求，且和“申请加入”功能重复；
修改建议：进入查看专家介绍流程，弹窗显示专家主页信息 点击返回菜单后回到直播页面。
"
1371,ios,新建,普通,发帖及评论字数限制,智丰 郭,2016-07-20 20:05,"改进需求 发帖及评论字数限制（安卓版2.4.1，5.25测试，wifi连接测试服务器）
应限制下限（目前平台上字数最少的问题）屏蔽因误操作等原因造成的无效信息，并在输入文本框中提示字数下限。
"
1370,ios,反馈,普通,直播中限制点赞次数,珂 赵,2016-07-20 18:30,"（安卓版2.4.1，5.25测试，wifi连接测试服务器）
目前点赞次数无限制，且每个用户点赞都有动画效果，多次点赞叠加易影响阅读互动内容，且不能对讲课质量（点赞总数）进行统计，需要限制点赞次数，并关闭动画效果（或用户可选择关闭动画效果）
"
1369,ios,新建,普通,直播中提问的字数限制,智丰 郭,2016-07-20 19:54,"直播中提问的字数限制（安卓版2.4.1，5.25测试版，wifi连接测试服务器）
应限制上限（一屏显示 不影响阅读为准）及下限（目前平台上字数最少的问题）屏蔽因误操作等原因造成的无效信息 也防止有超长问题影响阅读
"
1368,错误,新建,普通,网络不好 多次提交发帖无响应，造成重复发帖,智丰 郭,2016-07-14 17:51,"在网络不好的情况下，重复提交请求 得到多次响应（华为mate8，安卓版2.4.1，wifi连接测试服务器），如果直接关掉网络链接则不能复现
5月25日内网测试环境  登录首页，点击“发布”发帖，输入“测试发帖”后点击“提交”，无反馈后继续多次提交，后提交成功，之后可看到3篇同样的帖子

发帖人id：赵云
内容：测试发帖"
1367,错误,新建,普通,对语音收听请求多次响应造成回声,智丰 郭,2016-07-14 17:51,"在网络不好的情况下，重复提交请求 得到多次响应（iphone4s, ios版2.4或更早版本,wifi环境）
直播回答问题阶段，导师对问题的解答是语音
点击某个问题回复语音播放后，因网络不好延时较大 暂时听不到解答 多次点击同一条解答播放 然后听到多次回放重叠在一起（回声效果）"
1366,android,新建,普通,终端图片显示优化,智丰 郭,2016-07-20 16:04,"帖子中图片显示需要优化。
1.图片过大，则只显示部分图片，需要优化为缩略图。
2.多个图片只显示第一张，可优化加载速度

医大帮版本2.4.1，手机华为mate8，安卓6.0系统
"
1365,支持,新建,普通,学习Lunix,奇 刘,2016-06-04 08:00,"1. 学习Linux基础知识。例如，数据结构，系统安装，常用命令，软件安装等。
2. 强化Linux的操作，学习Linux中常用服务的搭建。"
1364,支持,新建,普通,学习InterlliJ IDEA,奇 刘,2016-06-04 07:55,"1. 学习InterlliJ IDEA基本知识。在Ubuntu 14.04上搭建InterlliJ IDEA环境。
2. 学习Java编程知识。
3. 在Ubuntu+Spring Cloud+InterlliJ IDEA环境中有可用成果。"
1363,支持,新建,普通,学习Spring Cloud搭建,奇 刘,2016-06-04 07:47,"1. 学习Spring Cloud基础知识。例如，功能，可实现功能等。
2. 学习搭建Spring Cloud（Ubuntu 14.04）。
3. 独立建立完整Spring Cloud服务。"
1361,支持,新建,普通,个人学习,奇 刘,2016-06-04 08:00,"sping-cloud在ubuntu14.04上的建立，包括开发环境的建立（IntellijIdea）。
最后有学习成果文档输出，里面要详细包含所有的：建立流程，操作流程，心得体会，原理讲述。"
